,owner_id,Time,Z,Act,State,Sequence,Keyword,Message_1,STT_1,Message_2,STT_2,Message_3,STT_3
0,806,'2021-08-01 01:06:02,부동,취침,수면,,,,,,,,
1,806,'2021-08-01 03:11:16,변기,"기상, 새벽용변",기상하기,,,,,,,,
2,806,'2021-08-01 03:11:16,변기,"기상, 새벽용변",새벽 화장실 이용,CM,,"순이가 매일 존경하는 양자님, 화장실에 들어갈때는 항상 바닥이 미끄러운지 살펴주세요!",,,,,
3,806,'2021-08-01 03:36:02,부동,휴식,취미활동,,,,,,,,
4,806,'2021-08-01 03:56:03,부동,취침,수면,,,,,,,,
5,806,'2021-08-01 06:55:21,변기,"기상, 용변",기상하기,,,,,,,,
6,806,'2021-08-01 06:55:21,변기,"기상, 용변",화장실 이용,CHPM,,"순이가 가장 아끼는 양자님, 안녕하세요 순이예요. 순이와 함께 맞이하는 아침으로 더욱 행복한 하루가 되시길 바라요! 아뜨뜨! 뜨거운 물이 손에 닿으면 화상을 입을수 있답니다!",,,,,
7,806,'2021-08-01 07:00:21,리모콘,TV시청,TV 보기,,,,,,,,
8,806,'2021-08-01 07:24:22,변기,용변,화장실 이용,M,,주무시다가 화장실을 자주 가는지 생각해볼까요? 그렇다면 저녁시간대에 물을 조금만 드시는 것이 좋답니다!,,,,,
9,806,'2021-08-01 07:30:11,리모콘,TV시청,TV 보기,,,,,,,,
10,806,'2021-08-01 08:39:57,전자렌지,음식데우기,간편식 준비하기,CM,,"오늘도 내일도 늘 소중한 양자님, 고등어처럼 등이 푸른 생선, 꽁치에는 철분과 비타민, 콜레스테롤이 풍부해요. 구워도 맛있고, 찌개로 끓여도 맛있는 꽁치 한번 드셔보세요!",,,,,
11,806,'2021-08-01 08:49:57,식사 판단,아침식사,조식,M,,아이코! 공복에 커피 마시면 몸에 좋지 않은 거 알고 계시죠오? 공복일 때는 위가 매우 약한 상태래요.,,,,,
12,806,'2021-08-01 08:51:01,전자렌지,전자레인지청소,전자렌지 청소하기,PM,,"식사 도중에 마시는 물이 소화에 방해된다는거 이미 아시죠? 전자렌지 벽에 눌러붙어 있는 누우런 기름때가 있다구요오? 식용유를 타월에 살짝 묻혀 닦으면, 기름때가 싸악 사라져요!",,,,,
13,806,'2021-08-01 09:16:02,미동,휴식,취미활동,,,,,,,,
14,806,'2021-08-01 09:25:14,냉장고,냉장고정리,냉장고 정리하기,M,,"요리 다 하시면 가스밸브 확인하기, 기억해주세요!",,,,,
15,806,'2021-08-01 09:27:22,리모콘,식사중TV,식사 중 TV 시청,,,,,,,,
16,806,'2021-08-01 09:37:00,리모콘,TV시청,TV 보기,,,,,,,,
17,806,'2021-08-01 09:43:52,변기,용변,화장실 이용,CM,,"이 시대의 멋쟁이 양자님, 식사 전 양치는 식사 중에 서서히 생길 수 있는 치아 부식을 막아주는 효과가 있어요.",,,,,
18,806,'2021-08-01 10:06:03,부동,휴식,취미활동,,,,,,,,
19,806,'2021-08-01 10:26:02,부동,낮잠,낮잠자기,,,,,,,,
20,806,'2021-08-01 10:30:08,리모콘,"낮잠기상, TV시청",낮잠 기상하기,,,,,,,,
21,806,'2021-08-01 10:30:08,리모콘,"낮잠기상, TV시청",TV 보기,,,,,,,,
22,806,'2021-08-01 10:56:03,부동,휴식,취미활동,,,,,,,,
23,806,'2021-08-01 11:16:04,부동,낮잠,낮잠자기,,,,,,,,
24,806,'2021-08-01 12:03:31,리모콘,"낮잠기상, TV시청",낮잠 기상하기,,,,,,,,
25,806,'2021-08-01 12:03:31,리모콘,"낮잠기상, TV시청",TV 보기,,,,,,,,
26,806,'2021-08-01 12:26:02,부동,휴식,취미활동,,,,,,,,
27,806,'2021-08-01 12:46:03,부동,낮잠,낮잠자기,,,,,,,,
28,806,'2021-08-01 13:52:50,변기,"낮잠기상, 용변",낮잠 기상하기,,,,,,,,
29,806,'2021-08-01 13:52:50,변기,"낮잠기상, 용변",화장실 이용,CHM,,"순이가 제일 존경하는 양자님, 사랑둥이 순이에요. 오늘처럼 미세먼지가 많은 날에는 세수하는게 피부와 건강에 좋대요.",,,,,
30,806,'2021-08-01 14:16:03,부동,휴식,취미활동,,,,,,,,
31,806,'2021-08-01 14:26:20,리모콘,TV시청,TV 보기,,,,,,,,
32,806,'2021-08-01 16:23:31,변기,용변,화장실 이용,CM,,"복 받으실 우리 양자님, 아이 뜨거워! 만약, 너무 뜨거운 물이 닿아 화끈거리시면, 흐르는 시원한 물에 화상 부위를 최고 십오분 이상 식혀주세요!",아,"그러셨구나 물을 틀땐, 먼저 미지근한 물부터 틀어 온도를 조절해주셔야해요! 바아로 뜨거운 물부터 트시면, 화상의 위험이 있답니다.",,,
33,806,'2021-08-01 17:06:05,미동,휴식,취미활동,,,,,,,,
34,806,'2021-08-01 17:12:53,전자렌지,음식데우기,간편식 준비하기,HM,,똑똑 계세요? 순이 왔어요. 계란 껍질을 제거하지 않고 렌지에 돌리면 음식이 터질 수 있어요.,,,,,
35,806,'2021-08-01 17:22:53,식사 판단,간식,간식 먹기,M,,요즘 날씨가 너무 더워 입맛이 없진 않으신가요? 참외나 복숭아같은 시고 달달한 과일 드셔보시는건 어떠신가요?,,,,,
36,806,'2021-08-01 17:41:03,리모콘,식사중TV,식사 중 TV 시청,,,,,,,,
37,806,'2021-08-01 18:56:44,리모콘,TV시청,TV 보기,,,,,,,,
38,806,'2021-08-01 19:13:03,냉장고,음식출납,음식 꺼내기,CM,,"우리 양자님, 부추는 다른 음식과 함께 먹으면 소화에 더 많은 도움을 준다고 해요. 만두속을 채우실 때 부추를 넣어 드셔보셔요!",,,,,
39,806,'2021-08-01 19:23:03,식사 판단,저녁식사,석식,M,," 너무 매운 음식을 자주 먹으면 위에 무리가 갈 수 있어요. 심해지면 위염, 위궤양의 질환을 유발한답니다. ",,,,,
40,806,'2021-08-01 19:29:57,리모콘,식사중TV,식사 중 TV 시청,,,,,,,,
41,806,'2021-08-01 20:06:41,냉장고,음식출납,음식 꺼내기,M,,비타민 에이가 가아득 들어있는 시금치는 피부 건강 뿐만 아니라 눈 건강에도 좋다고해요.,,,,,
42,806,'2021-08-01 20:16:41,식사 판단,간식,간식 먹기,M,,순이는 어렸을 때 학교 앞에서 사먹는 간식이 너무 맛있었어요. 우리 양자님에게 추억의 간식은 무엇인가요?,,,,,
43,806,'2021-08-01 20:30:42,냉장고,냉장고정리,냉장고 정리하기,CM,,"순이를 사랑해주시는 양자님, 맥주에는 냄새를 제거해주는 성분이 있어서 냉장고를 청소할 때 아주 유용하다고 해요.",노래 틀어,오호 그렇군요 오늘도 순이와 함께 해주셔서 감사해요!,어,,
44,806,'2021-08-01 20:30:45,리모콘,식사중TV,식사 중 TV 시청,,,,,,,,
45,806,'2021-08-01 21:57:24,변기,용변,화장실 이용,CM,,"순이가 최고로 아끼는 우리 양자님, 돈으로도 바꿀수 없는게 바로 건강이죠. 건강을 위해서 병원 검진을 정기적으로 받아주세요.",,,,,
46,806,'2021-08-01 22:04:04,리모콘,TV시청,TV 보기,,,,,,,,
47,806,'2021-08-01 22:56:11,프로그램,프로그램 참여,무비순이,,,프로그램 메시지,,,,,
48,806,'2021-08-02 00:06:07,부동,취침,수면,,,,,,,,
49,806,'2021-08-02 00:22:40,리모콘,"기상, TV시청",기상하기,,,,,,,,
50,806,'2021-08-02 00:22:40,리모콘,"기상, TV시청",뉴스 시청,,,,,,,,
51,806,'2021-08-02 00:46:06,부동,휴식,취미활동,,,,,,,,
52,806,'2021-08-02 01:06:05,부동,취침,수면,,,,,,,,
53,806,'2021-08-02 03:45:37,변기,"기상, 새벽용변",기상하기,,,,,,,,
54,806,'2021-08-02 03:45:37,변기,"기상, 새벽용변",새벽 화장실 이용,CM,,"순이가 최고로 좋아하는 우리 양자님, 타일 바닥에 비눗기가 남아 있는지 먼저 확인하기 약소옥!",,,,,
55,806,'2021-08-02 04:06:06,부동,휴식,취미활동,,,,,,,,
56,806,'2021-08-02 04:26:06,부동,취침,수면,,,,,,,,
57,806,'2021-08-02 04:36:20,변기,"기상, 용변",기상하기,,,,,,,,
58,806,'2021-08-02 04:36:20,변기,"기상, 용변",화장실 이용,HPM,,콧노래가 흥얼흥얼 나오는 날이에요. 외출할 때 우산을 꼬옥 챙겨주세요! 뽀득뽀득 삼십초간 손을 씻는 게 중요하답니다.,,,,,
59,806,'2021-08-02 05:06:04,부동,휴식,취미활동,,,,,,,,
60,806,'2021-08-02 05:26:03,부동,취침,수면,,,,,,,,
61,806,'2021-08-02 06:50:45,변기,"기상, 용변",기상하기,,,,,,,,
62,806,'2021-08-02 06:50:45,변기,"기상, 용변",화장실 이용,CPM,,"순이가 가장 닮고싶은 우리 양자님, 올 여름 태풍은 피해없이 무사히 지나갔으면 좋겠어요. 바닥에 거품이 남아있다면 미끄러질 수 있으니, 거품이나 물기는 제거해주시는게 좋아요.",,,,,
63,806,'2021-08-02 07:16:05,부동,휴식,취미활동,,,,,,,,
64,806,'2021-08-02 07:36:06,부동,취침,수면,,,,,,,,
65,806,'2021-08-02 09:14:25,냉장고,"기상, 음식출납",기상하기,,,,,,,,
66,806,'2021-08-02 09:14:25,냉장고,"기상, 음식출납",음식 꺼내기,CPM,,"항상 함께하고 싶은 양자님, 비가 와서 그런지 무언가 옛 생각을 나네요. 고등어에 오메가쓰리가 많아서 혈액 건강에 도움을 된대요!",,,,,
67,806,'2021-08-02 09:24:25,식사 판단,간식,간식 먹기,M,,과일주스가 탄산음료보다 더 심하게 치아를 부식시킨다는 연구 결과가 있대요! 세상에나!,,,,,
68,806,'2021-08-02 09:46:05,미동,휴식,취미활동,,,,,,,,
69,806,'2021-08-02 10:06:06,미동,낮잠,낮잠자기,,,,,,,,
70,806,'2021-08-02 10:48:56,전자렌지,"낮잠기상, 음식데우기",낮잠 기상하기,,,,,,,,
71,806,'2021-08-02 10:48:56,전자렌지,"낮잠기상, 음식데우기",간편식 준비하기,CM,,"언제나 보고싶은 양자님, 눅눅해진 튀김을 다시 바삭하게 만드는 방법을 알아왔어요! 접시에 키친타월을 깔고 그 위에 튀김을 올려둔 뒤 렌지에 돌리면 끝이랍니다!",,,,,
72,806,'2021-08-02 10:49:50,리모콘,TV시청,TV 보기,,,,,,,,
